sst_ts,direct_ts,diff_seconds,device,country
1767667889000000,1767667888306533,-0.693467,desktop,Philippines
1767667897000000,1767667896911995,-0.088005,desktop,Australia
1767667904000000,1767667904384141,0.384141,mobile,Australia
1767667968000000,1767667968041424,0.041424,desktop,Australia
1767667985000000,1767667985534468,0.534468,mobile,Australia
1767668031000000,1767668031055460,0.05546,desktop,Australia
1767668063000000,1767668063207688,0.207688,desktop,Australia
1767668071000000,1767668071579470,0.57947,mobile,Australia
1767668110000000,1767668110320368,0.320368,desktop,Australia
1767668179000000,1767668178671845,-0.328155,mobile,Australia
1767668182000000,1767668182414936,0.414936,desktop,Australia
1767668205000000,1767668204742963,-0.257037,desktop,Australia
1767668227000000,1767668226938882,-0.061118,desktop,Australia
1767668274000000,1767668272871470,-1.12853,desktop,Australia
1767668279000000,1767668279583608,0.583608,desktop,Australia
1767668325000000,1767668325082187,0.082187,mobile,Australia
1767668343000000,1767668342932228,-0.067772,desktop,Australia
1767668404000000,1767668404203149,0.203149,desktop,Australia
1767668438000000,1767668437738802,-0.261198,mobile,Australia
1767668454000000,1767668453992291,-0.007709,desktop,Australia
1767668480000000,1767668479324297,-0.675703,desktop,Singapore
1767668480000000,1767668480644223,0.644223,desktop,Australia
1767668483000000,1767668482718420,-0.28158,desktop,Vietnam
1767668520000000,1767668519828976,-0.171024,desktop,Australia
1767668523000000,1767668523596266,0.596266,mobile,Australia
1767668562000000,1767668562285157,0.285157,desktop,Australia
1767668574000000,1767668573131122,-0.868878,desktop,Singapore
1767668579000000,1767668578478531,-0.521469,desktop,Singapore
1767668619000000,1767668619111421,0.111421,mobile,Australia
1767668624000000,1767668624204163,0.204163,desktop,Australia
1767668631000000,1767668631048472,0.048472,desktop,Philippines
1767668637000000,1767668637465265,0.465265,desktop,Australia
1767668649000000,1767668648651128,-0.348872,desktop,Australia
1767668653000000,1767668652756128,-0.243872,desktop,Australia
1767668657000000,1767668657166212,0.166212,desktop,Australia
